dataset,location,param,depth,value,error,error_type,n_detect,n
cbrm_2017,KLY17-2,C/SINLAB,5.75,15.060117812527576,0.10378381818993308,sd,2,2
cbrm_2017,KLY17-2,C/SINLAB,6.25,14.789889474945507,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,6.75,14.943710130873436,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,7.25,15.007550622303887,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,7.75,14.655319682706182,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,8.25,14.598302957876912,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,8.75,14.048133377660653,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,9.25,13.130661152828095,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,9.75,9.036186094843698,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,10.25,8.179636852654017,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,11.25,13.796806703508219,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,12.25,15.23831503447978,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,13.25,15.05591392178856,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,14.25,14.92709522005095,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,15.25,14.261701012229466,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,16.25,14.179324313616648,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,17.25,14.132854951331828,0.08602445852802601,sd,2,2
cbrm_2017,KLY17-2,C/SINLAB,18.25,14.489326595481025,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,19.25,14.450619006038702,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,20.25,14.967828318325841,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,21.25,14.695480160628927,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,22.25,14.720941674217919,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,23.25,14.442805730253385,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,24.25,14.383470903164609,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,25.25,14.440694171207092,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,26.25,14.45124120788203,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,27.25,14.517575782519812,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,28.25,14.494071269656398,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,29.25,14.409512700622262,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,30.25,14.144520319725423,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,31.25,13.973815818663976,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,32.25,13.9399901703802,0.10340063819796669,sd,2,2
cbrm_2017,KLY17-2,C/SINLAB,33.25,14.099019003040747,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,34.25,14.259046753236854,,sd,1,1
cbrm_2017,KLY17-2,C/SINLAB,35.25,14.732928080788943,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,0.25,-28.419537199999997,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,0.75,-28.474518800000002,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,1.25,-28.4914912,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,1.75,-28.5718198,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,2.25,-28.651513599999998,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,2.75,-28.622701199999998,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,3.25,-28.560291,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,3.75,-28.437203399999998,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,4.25,-28.376390400000002,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,4.75,-28.3327876,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,5.25,-28.3908898,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,5.75,-28.3559964,0.05050609179574282,sd,2,2
cbrm_2017,KLY17-2,d13C/SINLAB,6.25,-28.230925,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,6.75,-28.2835944,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,7.25,-28.277563599999997,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,7.75,-28.2454358,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,8.25,-28.176000999999996,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,8.75,-28.024919399999998,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,9.25,-27.9889398,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,9.75,-27.742059199999996,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,10.25,-27.704896599999998,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,11.25,-27.9606884,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,12.25,-28.099693000000002,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,13.25,-28.1011124,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,14.25,-28.1257118,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,15.25,-28.0440406,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,16.25,-28.1091416,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,17.25,-28.148621,0.01482463508893159,sd,2,2
cbrm_2017,KLY17-2,d13C/SINLAB,18.25,-28.0808594,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,19.25,-27.946828599999996,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,20.25,-28.008370199999998,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,21.25,-27.9524502,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,22.25,-28.015638799999998,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,23.25,-27.922251199999998,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,24.25,-27.9152024,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,25.25,-27.874522199999998,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,26.25,-27.802515599999996,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,27.25,-27.6247246,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,28.25,-27.6183956,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,29.25,-27.6306554,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,30.25,-27.588572199999998,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,31.25,-27.5203632,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,32.25,-27.5281737,0.04874610301737157,sd,2,2
cbrm_2017,KLY17-2,d13C/SINLAB,33.25,-27.4296762,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,34.25,-27.285241199999998,,sd,1,1
cbrm_2017,KLY17-2,d13C/SINLAB,35.25,-27.3864734,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,0.25,3.6669000999999994,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,0.75,3.8079617,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,1.25,3.8360680999999994,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,1.75,3.6567742,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,2.25,3.3733687999999997,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,2.75,3.300776,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,3.25,3.3130463,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,3.75,3.4117528999999998,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,4.25,3.4462916999999997,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,4.75,2.9919689,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,5.25,2.9438832999999995,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,5.75,2.8587000499999995,0.0013011471880609814,sd,2,2
cbrm_2017,KLY17-2,d15N/SINLAB,6.25,2.8838937999999996,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,6.75,2.9061305999999996,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,7.25,3.0645436999999998,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,7.75,3.0698125,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,8.25,3.0532977,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,8.75,3.1360805999999997,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,9.25,3.0477534,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,9.75,3.0496176999999998,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,10.25,3.1252217999999994,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,11.25,3.2276816999999993,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,12.25,3.3272437,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,13.25,3.1715333999999995,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,14.25,3.2479878999999996,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,15.25,3.3783073999999997,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,16.25,3.262208899999999,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,17.25,4.2298202499999995,0.05262239168115586,sd,2,2
cbrm_2017,KLY17-2,d15N/SINLAB,18.25,4.0513331,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,19.25,4.0163419000000005,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,20.25,4.189804099999999,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,21.25,4.194475199999999,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,22.25,4.1927077,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,23.25,4.1280939,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,24.25,4.185708699999999,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,25.25,4.3277449,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,26.25,4.133960999999999,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,27.25,4.072083699999999,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,28.25,4.0188166,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,29.25,4.281015,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,30.25,4.1863131,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,31.25,4.2192856999999995,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,32.25,4.20120535,0.03461450328467749,sd,2,2
cbrm_2017,KLY17-2,d15N/SINLAB,33.25,4.275325399999999,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,34.25,4.1671363999999995,,sd,1,1
cbrm_2017,KLY17-2,d15N/SINLAB,35.25,4.1380844,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,0.25,47995,,sd,1,3
cbrm_2017,KLY17-2,Fe/XRF/Vanta,0.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,1.25,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,1.75,38565,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,2.25,32154,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,2.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,3.25,29426.666666666668,3881.102205989084,sd,3,3
cbrm_2017,KLY17-2,Fe/XRF/Vanta,3.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,4.25,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,4.75,26944,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,5.25,27633,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,5.75,28654,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,6.25,32318,,sd,1,3
cbrm_2017,KLY17-2,Fe/XRF/Vanta,6.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,7.25,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,7.75,26668,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,8.25,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,8.75,29552,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,9.25,32117,,sd,1,3
cbrm_2017,KLY17-2,Fe/XRF/Vanta,9.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,10.25,35995,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,10.75,34431,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,11.25,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,11.75,33649,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,12.25,32431,,sd,1,3
cbrm_2017,KLY17-2,Fe/XRF/Vanta,12.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,13.25,29646,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,13.75,32576,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,14.25,35681,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,14.75,28883,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,15.25,34240,172.5340546095176,sd,2,3
cbrm_2017,KLY17-2,Fe/XRF/Vanta,15.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,16.25,32338,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,16.75,32977,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,17.25,31855,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,17.75,33454,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,18.25,34834,,sd,1,3
cbrm_2017,KLY17-2,Fe/XRF/Vanta,18.75,32942,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,19.25,32411,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,19.75,32726,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,20.25,29551,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,20.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,21.25,NaN,NaN,sd,0,3
cbrm_2017,KLY17-2,Fe/XRF/Vanta,21.75,27656,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,22.25,28121,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,22.75,26457,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,23.25,29644,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,23.75,26487,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,24.25,26773.333333333332,1385.0347769400353,sd,3,3
cbrm_2017,KLY17-2,Fe/XRF/Vanta,24.75,27989,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,25.25,25857,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,25.75,28931,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,26.25,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,26.75,26971,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,27.25,25855,,sd,1,3
cbrm_2017,KLY17-2,Fe/XRF/Vanta,27.75,26883,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,28.25,25341,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,28.75,25863,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,29.25,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,29.75,25618,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,30.25,25839.5,710.6423150924803,sd,2,3
cbrm_2017,KLY17-2,Fe/XRF/Vanta,30.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,31.25,24521,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,31.75,27393,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,32.25,24772,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,32.75,23712,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,33.25,22463,,sd,1,3
cbrm_2017,KLY17-2,Fe/XRF/Vanta,33.75,23874,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,34.25,25117,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,34.75,22918,,sd,1,1
cbrm_2017,KLY17-2,Fe/XRF/Vanta,35.25,22613,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,0.25,747,106.06601717798213,sd,2,3
cbrm_2017,KLY17-2,K/XRF/Vanta,0.75,452,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,1.25,476,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,1.75,456,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,2.25,463,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,2.75,512,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,3.25,575.6666666666666,118.42860014934455,sd,3,3
cbrm_2017,KLY17-2,K/XRF/Vanta,3.75,677,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,4.25,638,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,4.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,K/XRF/Vanta,5.25,657,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,5.75,657,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,6.25,811,66.18912297349165,sd,3,3
cbrm_2017,KLY17-2,K/XRF/Vanta,6.75,893,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,7.25,896,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,7.75,1117,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,8.25,1181,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,8.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,K/XRF/Vanta,9.25,3400,87.74394566008529,sd,3,3
cbrm_2017,KLY17-2,K/XRF/Vanta,9.75,7581,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,10.25,NaN,,sd,0,1
cbrm_2017,KLY17-2,K/XRF/Vanta,10.75,6732,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,11.25,3172,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,11.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,K/XRF/Vanta,12.25,1677,,sd,1,3
cbrm_2017,KLY17-2,K/XRF/Vanta,12.75,1474,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,13.25,865,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,13.75,759,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,14.25,746,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,14.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,K/XRF/Vanta,15.25,390,33.94112549695428,sd,2,3
cbrm_2017,KLY17-2,K/XRF/Vanta,15.75,398,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,16.25,287,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,16.75,232,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,17.25,156,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,17.75,243,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,18.25,138.5,17.67766952966369,sd,2,3
cbrm_2017,KLY17-2,K/XRF/Vanta,18.75,296,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,19.25,145,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,19.75,166,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,20.25,184,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,20.75,369,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,21.25,253,91.92388155425118,sd,2,3
cbrm_2017,KLY17-2,K/XRF/Vanta,21.75,252,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,22.25,NaN,,sd,0,1
cbrm_2017,KLY17-2,K/XRF/Vanta,22.75,234,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,23.25,229,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,23.75,166,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,24.25,169.66666666666666,19.731531449264992,sd,3,3
cbrm_2017,KLY17-2,K/XRF/Vanta,24.75,215,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,25.25,162,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,25.75,321,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,26.25,199,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,26.75,175,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,27.25,166,,sd,1,3
cbrm_2017,KLY17-2,K/XRF/Vanta,27.75,185,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,28.25,78,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,28.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,K/XRF/Vanta,29.25,94,,sd,1,1
cbrm_2017,KLY17-2,K/XRF/Vanta,29.75,NaN,,sd,0,1
cbrm_2017,KLY17-2,K/XRF/Vanta,30.25,92,6.082762530298219,sd,3,3
