"SiteID","SiteName","Latitude","Longitude","DatasetID","DatasetType","AgeOldest","AgeYoungest"
11884,Lake Major,44.74593,-63.494025,18009,diatom,-55,-56
11885,Second Chain Lake,44.78106,-63.652145,18010,water chemistry,-55,-56
11885,Second Chain Lake,44.78106,-63.652145,18011,diatom,-55,-56
11886,Shubenacadie Grand Lake,44.918475,-63.596765,18012,water chemistry,-55,-56
11886,Shubenacadie Grand Lake,44.918475,-63.596765,18013,diatom,-55,-56
11887,Topsail Lake,44.69401,-63.5151,18014,water chemistry,-55,-56
11887,Topsail Lake,44.69401,-63.5151,18015,diatom,-55,-56
11888,Big Albro Lake,44.689505,-63.57656,18016,water chemistry,-55,-56
11888,Big Albro Lake,44.689505,-63.57656,18017,diatom,-55,-56
11892,Frog Pond,44.62632,-63.603085,18024,water chemistry,-55,-56
11892,Frog Pond,44.62632,-63.603085,18025,diatom,-55,-56
11893,Governor Lake,44.64305,-63.703075,18026,water chemistry,-55,-56
11893,Governor Lake,44.64305,-63.703075,18027,diatom,-55,-56
11894,Kearney Lake,44.696055,-63.695085,18028,water chemistry,-55,-56
11894,Kearney Lake,44.696055,-63.695085,18029,diatom,-55,-56
11895,Lemont Lake,44.68989,-63.5225,18030,water chemistry,-55,-56
11895,Lemont Lake,44.68989,-63.5225,18031,diatom,-55,-56
11896,Long Lake,44.62337,-63.640625,18032,water chemistry,-55,-56
11896,Long Lake,44.62337,-63.640625,18033,diatom,-55,-56
11897,Loon Lake,44.703815,-63.50411,18034,water chemistry,-55,-56
11897,Loon Lake,44.703815,-63.50411,18035,diatom,-55,-56
11898,McCabe Lake,44.778115,-63.753575,18036,water chemistry,-55,-56
11898,McCabe Lake,44.778115,-63.753575,18037,diatom,-55,-56
11899,Lake MicMac ,44.691745,-63.553595,18038,water chemistry,-55,-56
11899,Lake MicMac ,44.691745,-63.553595,18039,diatom,-55,-56
11900,Oat Hill,44.673865,-63.55036,18040,water chemistry,-55,-56
11900,Oat Hill,44.673865,-63.55036,18041,diatom,-55,-56
11901,Paper Mill,44.71521,-63.68946,18042,water chemistry,-55,-56
11901,Paper Mill,44.71521,-63.68946,18043,diatom,-55,-56
11902,Powers Pond,44.57673,-63.55461,18044,water chemistry,-55,-56
11902,Powers Pond,44.57673,-63.55461,18045,diatom,-55,-56
11903,Rocky Lake,44.749205,-63.627815,18046,water chemistry,-55,-56
11903,Rocky Lake,44.749205,-63.627815,18047,diatom,-55,-56
11904,Sandy Lake,44.73399,-63.701415,18048,water chemistry,-55,-56
11904,Sandy Lake,44.73399,-63.701415,18049,diatom,-55,-56
11905,Second Lake,44.781075,-63.652275,18052,water chemistry,,
11905,Second Lake,44.781075,-63.652275,18053,diatom,,
11906,Second Lake,44.781075,-63.652275,18054,water chemistry,-55,-56
11906,Second Lake,44.781075,-63.652275,18055,diatom surface sample,-55,-56
11907,Springfield Lake,44.812365,-63.73978,18056,water chemistry,-55,-56
11907,Springfield Lake,44.812365,-63.73978,18057,diatom,-55,-56
11911,Lake William,44.76684,-63.585305,18064,water chemistry,-55,-56
11911,Lake William,44.76684,-63.585305,18065,diatom,-55,-56
11912,Williams Lake,44.61925,-63.596915,18066,water chemistry,-55,-56
11912,Williams Lake,44.61925,-63.596915,18067,diatom,-55,-56
11913,Lake Banook,44.67947,-63.55591,18068,water chemistry,-55,-56
11913,Lake Banook,44.67947,-63.55591,18069,diatom,-55,-56
11914,Bisset Lake,44.65565,-63.467975,18070,water chemistry,-55,-56
11914,Bisset Lake,44.65565,-63.467975,18071,diatom,-55,-56
11915,Lake Charles,44.723075,-63.55179,18072,water chemistry,-55,-56
11915,Lake Charles,44.723075,-63.55179,18073,diatom,-55,-56
11916,Fletchers Lake,44.842235,-63.612815,18074,water chemistry,-55,-56
11916,Fletchers Lake,44.842235,-63.612815,18075,diatom,-55,-56
11917,Morris Lake,44.65226,-63.49853,18076,water chemistry,-55,-56
11917,Morris Lake,44.65226,-63.49853,18077,diatom,-55,-56
11918,Pennhorn lake,44.67536,-63.540585,18078,water chemistry,-55,-56
11918,Pennhorn lake,44.67536,-63.540585,18079,diatom,-55,-56
11919,Settle Lake,44.67911,-63.505235,18080,water chemistry,-55,-56
11919,Settle Lake,44.67911,-63.505235,18081,diatom,-55,-56
11920,Sheldrake lake,44.67657,-63.797715,18082,water chemistry,-55,-56
11920,Sheldrake lake,44.67657,-63.797715,18083,diatom,-55,-56
13691,Cornings Lake,44.053325,-66.082055,20873,diatom,,
13692,Gull Lake,46.6893,-60.540675,20874,diatom,-52,-54
